original_cost,expenditure,physical_progress,project_duration_days,project_duration_months,expenditure_ratio,progress_per_month,sector,ministry,agency,cost_overrun_flag
748,10.43,1,4045.0,132.8843626806833,0.0139438502673796,0.0075253399258343,Inland Waterways,Ministry of Railways,East Coast Railway [ECoR] - II,0
355,0.0,0,2755.5,90.52233902759525,0.0,0.6743353097526068,Metals & Mining,Ministry of Mines,Ministry of Mines,1
4103,3913.98,75,2080.0,68.3311432325887,0.9539312698025836,1.0975961538461538,Metals & Mining,Ministry of Mines,National Aluminium Company Limited [NALCO],1
1381,650.04,51,2513.0,82.55584756898817,0.4707023895727733,0.6177636291285317,Metals & Mining,Ministry of Mines,National Aluminium Company Limited [NALCO],1
1700,65.44,2,2698.0,88.63337713534823,0.0384941176470588,0.0225648628613788,Metals & Mining,Ministry of Steel,National Mineral Development Corporation Limited [NMDC],1
1421,1180.91,95,2755.5,90.52233902759525,0.8310415200562984,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited [HPCL],1
8797,6768.36,85,2755.5,90.52233902759525,0.7693941116289644,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
1750,4650.0,99,2755.5,90.52233902759525,2.657142857142857,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
165,89.94,72,2755.5,90.52233902759525,0.5450909090909091,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],0
228,9.01,20,2755.5,90.52233902759525,0.0395175438596491,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
277,185.18,67,2755.5,90.52233902759525,0.6685198555956678,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,1
14810,11728.0,87,2755.5,90.52233902759525,0.7918973666441593,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
367,339.19,93,2755.5,90.52233902759525,0.9242234332425068,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,1
199,36.78,29,2755.5,90.52233902759525,0.1848241206030151,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
768,99.02,35,2755.5,90.52233902759525,0.1289322916666666,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
34627,23977.5,88,2755.5,90.52233902759525,0.6924509775608629,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
31580,1342.27,10,2755.5,90.52233902759525,0.0425037998733375,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Chennai Petroleum Corporation Limited [CPCL],1
1377,329.43,26,2755.5,90.52233902759525,0.2392374727668845,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,0
2628,332.52,26,2755.5,90.52233902759525,0.1265296803652968,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,0
5535,3836.09,0,2755.5,90.52233902759525,0.6930605239385728,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
865,68.01,2,2755.5,90.52233902759525,0.0786242774566474,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
501,111.55,5,2755.5,90.52233902759525,0.2226546906187624,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
609,58.15,2,2755.5,90.52233902759525,0.0954844006568144,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
